image,num_rois,mean_intensity,std_intensity
Run15TL_bottom_right.tif,522,81.9617,66.5871
Run15TL_top_left.tif,622,80.3243,65.7657
Run15TL_top_right.tif,574,80.4922,67.2893
Run15TR_bottom_left.tif,545,85.4466,67.3279
Run15TR_bottom_right.tif,448,84.4380,68.7902
Run15TR_top_left.tif,557,81.8980,66.6516
Run15TR_top_right.tif,493,80.1754,65.5090
Run16BL_bottom_left.tif,419,88.9085,68.4606
Run16BL_bottom_right.tif,472,90.2566,69.1305
Run16BL_top_left.tif,399,85.4502,66.6144
Run16BL_top_right.tif,412,84.4939,67.0329
Run16BR_bottom_left.tif,448,89.9269,69.5646
Run16BR_bottom_right.tif,430,89.1195,68.0950
Run16BR_top_left.tif,425,86.9052,67.8689
Run16BR_top_right.tif,498,85.9555,65.9117
Run16TL_bottom_left.tif,405,84.5734,67.4410
Run16TL_bottom_right.tif,403,82.3396,65.8721
Run16TL_top_left.tif,385,71.9796,62.0312
Run16TL_top_right.tif,426,71.8998,63.1266
Run16TR_bottom_left.tif,442,80.7520,64.9622
Run16TR_bottom_right.tif,511,82.4705,65.8553
Run16TR_top_left.tif,376,70.5373,62.2679
Run16TR_top_right.tif,418,74.3801,64.3700
Run17BL_bottom_left.tif,241,76.6332,64.1194
Run17BL_bottom_right.tif,213,78.2919,64.4601
Run17BL_top_left.tif,224,74.8442,61.2740
Run17BL_top_right.tif,238,79.0718,63.5634
Run17BR_bottom_left.tif,196,76.6911,63.8783
Run17BR_bottom_right.tif,205,77.1048,64.5311
Run17BR_top_left.tif,231,70.8100,59.0560
Run17BR_top_right.tif,203,78.9447,65.2671
Run17TL_bottom_left.tif,253,75.1262,62.4672
Run17TL_bottom_right.tif,210,74.0462,63.4863
Run17TL_top_left.tif,244,63.9217,60.5919
Run17TL_top_right.tif,220,67.0845,62.7318
Run17TR_bottom_left.tif,263,76.0643,63.9472
Run17TR_bottom_right.tif,236,72.1862,60.8871
Run17TR_top_left.tif,232,69.1091,61.0155
Run17TR_top_right.tif,266,66.0832,58.5642
Run18BL_bottom_left.tif,525,97.3509,76.4257
Run18BL_bottom_right.tif,625,101.2854,79.4877
Run18BL_top_left.tif,499,93.1396,73.5518
Run18BL_top_right.tif,575,94.6333,75.2285
Run18BR_bottom_left.tif,510,103.0585,80.6992
Run18BR_bottom_right.tif,435,102.6725,81.1734
Run18BR_top_left.tif,510,97.9725,77.2894
Run18BR_top_right.tif,457,99.9619,77.2786
Run18TL_bottom_left.tif,583,86.7478,71.6543
Run18TL_bottom_right.tif,470,85.7533,71.1760
Run18TL_top_left.tif,581,71.5843,64.2220
Run18TL_top_right.tif,397,66.2605,62.1945
Run18TR_bottom_left.tif,515,89.4888,72.5048
Run18TR_bottom_right.tif,456,88.7365,73.2172
Run18TR_top_left.tif,462,70.9964,64.1579
Run18TR_top_right.tif,415,71.1088,63.6301
Run19BL_bottom_left.tif,445,107.5875,85.6159
Run19BL_bottom_right.tif,452,105.0063,84.6336
Run19BL_top_left.tif,467,100.3302,80.6720
Run19BL_top_right.tif,436,104.4845,82.1113
Run19BR_bottom_left.tif,481,102.8636,83.7035
Run19BR_bottom_right.tif,478,104.4966,83.2735
Run19BR_top_left.tif,356,103.9416,82.9042
Run19BR_top_right.tif,436,106.0634,83.8066
Run19TL_bottom_left.tif,398,100.3486,82.8093
Run19TL_bottom_right.tif,369,101.5631,82.4838
Run19TL_top_left.tif,434,92.7704,80.1342
Run19TL_top_right.tif,295,91.4886,77.9788
Run19TR_bottom_left.tif,428,101.3016,82.5183
Run19TR_bottom_right.tif,394,100.6528,82.2095
Run19TR_top_left.tif,326,94.5250,80.0115
Run19TR_top_right.tif,355,88.1517,77.0385
Run1BL_bottom_left.tif,671,98.8593,71.5998
Run1BL_bottom_right.tif,715,102.9625,72.7144
Run1BL_top_left.tif,748,94.3118,69.7775
Run1BL_top_right.tif,684,98.5330,70.8966
Run1BR_bottom_left.tif,647,101.0957,73.6536
Run1BR_bottom_right.tif,593,100.7623,73.3822
Run1BR_top_left.tif,589,95.5406,70.8338
Run1BR_top_right.tif,612,98.5023,70.7293
Run1TL_bottom_left.tif,719,88.0747,67.5204
